"NEQA";"NE";"Geographie";;;
"NEQA01000";"NEQA";"Geographie";;;"page=873"
"NEQA01010";"NEQA01000";"Allgemeine Geographie";"lkl=qa? or lkl=qb? or lkl=qc? or lkl=qd? or lkl=qe? or lkl=qf?";;"page=789"
"NEQA01020";"NEQA01000";"Regionale Geographie";"lkl=qg ?";;"page=789"
"NEQA01030";"NEQA01000";"Europa";"lkl=qga? or lkl=qgb? or lkl=qgc? or lkl=qgd? or lkl=qge? or lkl=qgf? or lkl=qgg?";;"page=789"
"NEQA01040";"NEQA01000";"Asien";"lkl=qgh? or lkl=qgi? or lkl=qgj? or lkl=qgk? or lkl=qgl? or lkl=qgm?";;"page=789"
"NEQA01050";"NEQA01000";"Afrika";"lkl=qgn? or lkl=qgo? or lkl=qgp? or lkl=qgq? or lkl=qgr? or lkl=qgs? or lkl=qgt? or lkl=qgu?";;"page=789"
"NEQA01060";"NEQA01000";"Amerika";"lkl=qgv? or lkl=qgw? or lkl=qgx?";;"page=789"
"NEQA01070";"NEQA01000";"Australien und Ozeanien";"lkl=qgy?";;"page=789"
"NEQA01080";"NEQA01000";"Polargebiete und Meere";"lkl=qgz?";;"page=789"
"NEQA01090";"NEQA01000";"Reisen und Entdeckungen";"lkl=qh? or lkl=qj? or lkl=qk? or lkl=ql?";;"page=789"
"NEQA01100";"NEQA01000";"Hydrologie";"lkl=ua? or lkl=ub? or lkl=uc? or lkl=ud?";;"page=789"
"NEQA01110";"NEQA01000";"Ozeanologie";"lkl=ug? or lkl=uh? or lkl=uk?";;"page=789"
"NEQA01120";"NEQA01000";"Geodäsie";"lkl=un? or lkl=up?";;"page=789"
"NEQA01130";"NEQA01000";"Kartographie";"lkl=ut? or lkl=uu? or lkl=uw? or lkl=uy?";;"page=789"
"NEQA01140";"NEQA01000";"Hydrologie";"lkl=ua? or lkl=ub? or lkl=uc? or lkl=ud?";;"page=789"
