"NEO";"NE";"Archäologie / Ur- und Frühgeschichte";;;
"NEO01000";"NEO";"Archäologie / Ur- und Frühgeschichte";;;"page=432"
"NEO01010";"NEO01000";"Archäologie";"lkl=o ?";;"page=432"
"NEO01020";"NEO01000";"Altorientalische Archäologie";"lkl=oa?";;"page=432"
"NEO01030";"NEO01000";"Altägyptische Archäologie";"lkl=ob?";;"page=432"
"NEO01040";"NEO01000";"Klassische Archäologie";"lkl=oc?";;"page=432"
"NEO01050";"NEO01000";"Jüdische Archäologie";"lkl=og?";;"page=432"
"NEO01060";"NEO01000";"Christliche Archäologie";"lkl=oh?";;"page=432"
"NEO01070";"NEO01000";"Islamische Archäologie";"lkl=oi?";;"page=432"
"NEO01080";"NEO01000";"Archäologie nach Regionen";"lkl=ok?";;"page=432"
