"NEP0";"NE";"Geschichtswissenschaften";;;
"NEP001000";"NEP0";"Geschichtswissenschaften";;;"page=502"
"NEP001010";"NEP001000";"Geschichtsschreibung und Geschichtstheorie";"lkl=pb?";;"page=502"
"NEP001020";"NEP001000";"Teilbereiche der Geschichte (Politische Geschichte, Kultur-, Sozial- und Wirtschaftsgeschichte ohne regionalen Bezug)";"lkl=pc?";;"page=502"
"NEP001030";"NEP001000";"Historische Hilfswissenschaften";"lkl=pd?";;"page=502"
"NEP001040";"NEP001000";"Vor- und Frühgeschichte";"lkl=pe?";;"page=502"
"NEP001050";"NEP001000";"Allgemeine Weltgeschichte";"lkl=pf?";;"page=502"
"NEP001060";"NEP001000";"Alte Geschichte";"lkl=pg?";;"page=502"
"NEP001070";"NEP001000";"Europäische Geschichte in Mittelalter und Neuzeit";"lkl=ph?";;"page=502"
"NEP001080";"NEP001000";"Deutsche Geschichte";"lkl=pi?";;"page=502"
"NEP001090";"NEP001000";"Geschichte der deutschen Länder und Städte";"lkl=pj?";;"page=502"
"NEP001100";"NEP001000";"Geschichte der Schweiz";"lkl=pk?";;"page=502"
"NEP001110";"NEP001000";"Geschichte Österreichs";"lkl=pl?";;"page=502"
"NEP001120";"NEP001000";"Geschichte Tschechiens und der Slowakei";"lkl=pmn? or lkl=pmo? or lkl=pmr? or lkl=pmu? or lkl=pmx?";;"page=502"
"NEP001130";"NEP001000";"Geschichte Großbritanniens und Irlands";"lkl=po? or lkl=ddc 941?";;"page=502"
"NEP001140";"NEP001000";"Geschichte Frankreichs";"lkl=pp?";;"page=502"
"NEP001150";"NEP001000";"Geschichte Spaniens und Portugals";"lkl=pq?";;"page=502"
"NEP001160";"NEP001000";"Geschichte Italiens";"lkl=pr?";;"page=502"
"NEP001170";"NEP001000";"Geschichte des Balkans";"lkl=ps?";;"page=502"
"NEP001180";"NEP001000";"Geschichte Osteuropas";"lkl=pt?";;"page=502"
"NEP001190";"NEP001000";"Geschichte Asiens";"lkl=pu?";;"page=502"
"NEP001200";"NEP001000";"Geschichte Amerikas";"lkl=pv? or lkl=ddc 97?";;"page=502"
"NEP001210";"NEP001000";"Geschichte Afrikas";"lkl=pw?";;"page=502"
"NEP001220";"NEP001000";"Geschichte Australiens, Neuseelands und Ozeaniens";"lkl=px? or lkl=ddc 993? or lkl=ddc 994?";;"page=502"
"NEP001230";"NEP001000";"Geschichte des jüdischen Volkes";"lkl=py?";;"page=502"
