"NEN";"NE";"Rechtswissenschaft";;;
"NEN01000";"NEN";"Rechtswissenschaft";;;
"NEN01010";"NEN01000";"Rechtswissenschaft im Allgemeinen";"lkl=n?";;
"NEN01020";"NEN01000";"Rechtsphilosophie. Allgemeine Rechtslehre";"lkl=na?";;
"NEN01030";"NEN01000";"Allgemeine Rechtspolitik";"lkl=nb?";;
"NEN01040";"NEN01000";"Rechtssoziologie, Rechtstatsachenforschung, Rechtspsychologie";"lkl=nc?";;
"NEN01050";"NEN01000";"Rechtsvergleichung, allgemeiner und historischer Teil";"lkl=nd?";;
"NEN01060";"NEN01000";"Allgemeine und vergleichende Rechtsgeschichte";"lkl=ne?";;
"NEN01070";"NEN01000";"Recht der Antike";"lkl=nf?";;
"NEN01080";"NEN01000";"Deutsches Recht im Allgemeinen";"lkl=ng?";;
"NEN01090";"NEN01000";"Allgemeine deutsche Rechtsgeschichte";"lkl=nh?";;
"NEN01100";"NEN01000";"Privatrecht im Allgemeinen";"lkl=nj?";;
"NEN01110";"NEN01000";"Deutsches Öffentliches Recht im Allgemeinen";"lkl=nk?";;
"NEN01120";"NEN01000";"Deutsches Verwaltungsrecht";"lkl=nl?";;
"NEN01130";"NEN01000";"Deutsche Justiz und Gerichtsverfassung";"lkl=nm?";;
"NEN01140";"NEN01000";"Deutsches Strafrecht (Im Ganzen und Allgemeiner Teil)";"lkl=nn?";;
"NEN01150";"NEN01000";"Internationales Recht";"lkl=no?";;
"NEN01160";"NEN01000";"Völkerrecht";"lkl=nq?";;
"NEN01170";"NEN01000";"Kirchenrecht";"lkl=nr?";;
"NEN01180";"NEN01000";"Ausländisches Recht";"lkl=nt?";;
