"NEC";"NE";"Theologie und Religionswissenschaft";;;
"NEC01000";"NEC";"Theologie und Religionswissenschaft";"lkl=c?";;
"NEC01010";"NEC01000";Allgemeine Religionswissenschaft;lkl=ca?;;page=684;
"NEC01020";"NEC01000";Spezielle Religionswissenschaft;lkl=cb?;;page=684;
"NEC01030";"NEC01000";Theologie allgemein und Theologiegeschichte;lkl=cd?;;page=684;
"NEC01040";"NEC01000";Bibelwissenschaft;lkl=cg?;;page=684;
"NEC01050";"NEC01000";Altes Testament;lkl=cgh?;;page=684;
"NEC01060";"NEC01000";Neues Testament;lkl=cgk?;;page=684;
"NEC01070";"NEC01000";Kirchengeschichte;lkl=ci?;;page=684;
"NEC01080";"NEC01000";Ordensgeschichte, Frömmigkeitsgeschichte;lkl=ck?;;page=684;
"NEC01090";"NEC01000";Systematische Theologie;lkl=cm?;;page=684;
"NEC01100";"NEC01000";Dogmatik und Konfessionskunde;lkl=co?;;page=684;
"NEC01110";"NEC01000";Ethik;lkl=cq?;;page=684;
"NEC01120";"NEC01000";Praktische Theologie und Missionswissenschaft;lkl=cr?;;page=684;
