"NEHS";"NE";"Germanistik";;;
"NEHS01000";"NEHS";"Germanistik";"lkl=hs?";;"Page=488"
"NEHS01010";"NEHS01000";"Deutsche Philologie";"lkl=hs ?";;"Page=488"
"NEHS01020";"NEHS01000";"Deutsche Philologie des Mittelalters und der frühen Neuzeit";"lkl=hsa?";;"page=488"
"NEHS01030";"NEHS01000";"Althochdeutsch 750-1050";"lkl=hsb?";;"page=488"
"NEHS01040";"NEHS01000";"Mittelhochdeutsch 1050-1500";"lkl=hsd?";;"page=488"
"NEHS01050";"NEHS01000";"Frühneuhochdeutsch 1500-1650";"lkl=hsf?";;"page=488"
"NEHS01060";"NEHS01000";"Mittelniederdeutsche Philologie";"lkl=hsh?";;"page=488"
"NEHS01070";"NEHS01000";"Jiddische Philologie";"lkl=hsj?";;"page=488"
"NEHS01080";"NEHS01000";"Deutsche Sprache und Literatur ausserhalb Deutschlands";"lkl=hsl?";;"page=488"
"NEHS01090";"NEHS01000";"Österreich";"lkl=hsn?";;"page=488"
"NEHS01100";"NEHS01000";"Schweiz";"lkl=hsp?";;"page=488"
"NEHS01110";"NEHS01000";"USA und Kanada";"lkl=hsq?";;"page=488"
"NEHS01120";"NEHS01000";"Osteuropa";"lkl=hsr?";;"page=488"
"NEHS01130";"NEHS01000";"Sonstige Länder";"lkl=hsz?";;"page=488"
