"NEIE";"NE";"Keltische Philologie";;;
"NEIE1000";"NEIE";"Keltische Philologie";;"Celtic studies";
"NEIE1010";"NEIE1000";"Sprachwissenschaft";"lkl=ie 2? or lkl=ie 3? or lkl=iec 2? or lkl=iec 3? or lkl=ief 2? or lkl=ief 3? or lkl=ieh 2? or lkl=ieh 3? or lkl=iek 2? or lkl=iek 3? or lkl=iem 2? or lkl=iem 3? or lkl=ieo 2? or lkl=ieo 3? or lkl=ier 2? or lkl=ier 3? or lkl=iet 2? or lkl=iet 3?";"Linguistics";
"NEIE1020";"NEIE1000";"Literaturwissenschaft";"lkl=ie 4? or lkl=ie 5? or lkl=ie 6? or lkl=iec 4? or lkl=iec 5? or lkl=iec 6? or lkl=ief 4? or lkl=ief 5? or lkl=ief 6? or lkl=ieh 4? or lkl=ieh 5? or lkl=ieh 6? or lkl=iek 4? or lkl=iek 5? or lkl=iek 6? or lkl=iem 4? or lkl=iem 5? or lkl=iem 6? or lkl=ieo 4? or lkl=ieo 5? or lkl=ieo 6? or lkl=ier 4? or lkl=ier 5? or lkl=ier 6? or lkl=iet 4? or lkl=iet 5? or lkl=iet 6?";"Texts and literary criticism";
